Kingdom,Phylum,Class,Order,Family,Genus
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter
Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Finegoldia
Bacteria,Cyanobacteria,Chloroplast,NA,NA,NA
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,CL500-29_marine_group
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Peptoniphilus
Bacteria,Cyanobacteria,Chloroplast,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium
Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenellaceae_R-7_group
Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Peptoniphilus
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
Bacteria,Parcubacteria,NA,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,Aureimonas
Bacteria,NA,NA,NA,NA,NA
Bacteria,CPR2,NA,NA,NA,NA
Bacteria,Parcubacteria,Candidatus_Uhrbacteria,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,MNG7,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Parablastomonas
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Marmoricola
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus_1
Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia
Bacteria,NA,NA,NA,NA,NA
Bacteria,Thermotogae,Thermotogae,Kosmotogales,Kosmotogaceae,Mesotoga
Bacteria,Parcubacteria,NA,NA,NA,NA
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria
Bacteria,Parcubacteria,Candidatus_Nomurabacteria,NA,NA,NA
Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium_1
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
Bacteria,Cyanobacteria,Chloroplast,NA,NA,NA
Bacteria,Cyanobacteria,Chloroplast,NA,NA,NA
Bacteria,Parcubacteria,NA,NA,NA,NA
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,CL500-29_marine_group
Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Meiothermus
Bacteria,Parcubacteria,NA,NA,NA,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,NA
Bacteria,Parcubacteria,Candidatus_Nomurabacteria,NA,NA,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,MNG7,NA
Bacteria,Chloroflexi,SL56_marine_group,NA,NA,NA
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,CL500-29_marine_group
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,CL500-29_marine_group
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus
Bacteria,Parcubacteria,Candidatus_Nomurabacteria,NA,NA,NA
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Lawsonella
Bacteria,Peregrinibacteria,Candidatus_Peribacteria,NA,NA,NA
Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Gluconobacter
Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,B79,NA
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Microlunatus
Bacteria,Parcubacteria,Candidatus_Nomurabacteria,NA,NA,NA
Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,NA
Bacteria,Parcubacteria,Candidatus_Uhrbacteria,NA,NA,NA
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,CL500-29_marine_group
Bacteria,Cyanobacteria,Chloroplast,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,MNC12,NA
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium
Bacteria,Parcubacteria,NA,NA,NA,NA
Bacteria,NA,NA,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SM2D12,NA
Bacteria,Cyanobacteria,Chloroplast,NA,NA,NA
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Janibacter
Bacteria,Cyanobacteria,Chloroplast,NA,NA,NA
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,NA
Bacteria,Parcubacteria,Candidatus_Nomurabacteria,NA,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1
Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia
Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus_1
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium_1
Bacteria,NA,NA,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,CL500-29_marine_group
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,NA
Bacteria,Actinobacteria,Actinobacteria,Frankiales,Geodermatophilaceae,Geodermatophilus
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
Bacteria,Cyanobacteria,Chloroplast,NA,NA,NA
Bacteria,Parcubacteria,Candidatus_Adlerbacteria,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium
Bacteria,Saccharibacteria,NA,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Gluconobacter
Bacteria,Cyanobacteria,Chloroplast,NA,NA,NA
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,MWH-Ta3
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus_1
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
Bacteria,Cyanobacteria,Cyanobacteria,NA,NA,NA
Bacteria,Parcubacteria,NA,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,P-102,NA
Archaea,NA,NA,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,MNG7,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA
Bacteria,Saccharibacteria,NA,NA,NA,NA
Eukaryota,NA,NA,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,NA
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,CL500-29_marine_group
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus
Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,FukuN18_freshwater_group,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
Bacteria,Cyanobacteria,Chloroplast,NA,NA,NA
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,NA
Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Olsenella
Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,LD12_freshwater_group,NA
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacterium
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacterium
Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Trueperaceae,Truepera
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium_1
Bacteria,Cyanobacteria,Cyanobacteria,SubsectionIII,FamilyI,NA
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiales_Incertae_Sedis,Candidatus_Microthrix
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus
Bacteria,Cyanobacteria,Chloroplast,NA,NA,NA
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Lawsonella
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
Bacteria,Parcubacteria,Candidatus_Magasanikbacteria,NA,NA,NA
Bacteria,Parcubacteria,Candidatus_Moranbacteria,NA,NA,NA
Bacteria,Parcubacteria,NA,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,alphaI_cluster,NA
Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA
Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,NA
Bacteria,Chloroflexi,SL56_marine_group,NA,NA,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
Bacteria,Parcubacteria,NA,NA,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea
Bacteria,WWE3,NA,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacterium
Bacteria,Saccharibacteria,NA,NA,NA,NA
Bacteria,Parcubacteria,Candidatus_Nomurabacteria,NA,NA,NA
Bacteria,Saccharibacteria,NA,NA,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA
Bacteria,Cyanobacteria,Chloroplast,NA,NA,NA
Bacteria,Nitrospinae,P9X2b7H09,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia
Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio
Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,OM27_clade
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium_1
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,NA
Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,Candidatus_Planktophila
Bacteria,Parcubacteria,NA,NA,NA,NA
Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
Bacteria,Parcubacteria,Candidatus_Magasanikbacteria,NA,NA,NA
Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,FukuN57,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,NA
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus
Archaea,Woesearchaeota_(DHVEG-6),NA,NA,NA,NA
Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides
Bacteria,Cyanobacteria,Cyanobacteria,NA,NA,NA
Eukaryota,NA,NA,NA,NA,NA
Bacteria,Parcubacteria,NA,NA,NA,NA
Bacteria,Parcubacteria,NA,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_Incertae_Sedis,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
Bacteria,Cyanobacteria,Chloroplast,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,MSB-1E8,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum
Bacteria,Parcubacteria,NA,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Haematobacter
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacterium
Bacteria,Parcubacteria,Candidatus_Moranbacteria,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiales_Incertae_Sedis,Candidatus_Captivus
Bacteria,Cyanobacteria,Chloroplast,NA,NA,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Stappia
